,Usage,Idiom,SenenceNo,Location,Sentence,SentenceBefore,SentenceAfter
0,L,blow_smoke,280,A/A6/A6E,"[('anyway', 'AV0'), (',', 'PUN'), ('jack', 'NP0'), ('the', 'AT0'), ('lad', 'NN1'), ('say', 'VVD'), (',', 'PUN'), ('rehearse', 'VVG'), (',', 'PUN'), ('and', 'CJC'), ('blow', 'VVD'), ('smoke', 'NN1-VVB'), ('in', 'PRP'), ('he', 'DPS'), ('face', 'NN1'), ('.', 'PUN')]","[('he', 'PNP'), ('be', 'VBD'), ('obviously', 'AV0'), ('peeved', 'AJ0'), ('that', 'CJT'), ('we', 'PNP'), ('have', 'VHD'), ('square', 'VVN'), ('it', 'PNP'), ('with', 'PRP'), ('the', 'AT0'), ('music', 'NN1'), ('teacher', 'NN1'), ('while', 'CJS'), ('he', 'PNP'), ('do', 'VDD'), ('not', 'XX0'), ('know', 'VVI'), ('anything', 'PNI'), ('about', 'PRP'), ('it', 'PNP'), ('.', 'PUN')]","[('the', 'AT0'), ('next', 'ORD'), ('day', 'NN1'), ('we', 'PNP'), ('be', 'VBD'), ('inform', 'VVN'), ('that', 'CJT'), ('we', 'PNP'), ('be', 'VBD'), ('not', 'XX0'), ('allow', 'VVN'), ('to', 'TO0'), ('use', 'VVI'), ('the', 'AT0'), ('hut', 'NN2'), ('again', 'AV0'), ('.', 'PUN')]"
1,L,blow_smoke,503,A/A7/A74,"[('she', 'PNP'), ('be', 'VBZ'), ('lie', 'VVG'), ('on', 'PRP'), ('the', 'AT0'), ('bed', 'NN1'), (',', 'PUN'), ('blow', 'VVG'), ('smoke', 'NN1-VVB'), ('at', 'PRP'), ('the', 'AT0'), ('ceiling', 'NN1'), ('.', 'PUN')]","[('i', 'PNP'), ('really', 'AV0'), ('like', 'VVD'), ('it', 'PNP'), (',', 'PUN'), ('the', 'AT0'), ('way', 'NN1'), ('she', 'PNP'), ('move', 'VVD'), ('i', 'DPS'), ('head', 'NN1'), ('and', 'CJC'), ('brush', 'VVD'), ('she', 'DPS'), ('finger', 'NN2'), ('through', 'PRP'), ('i', 'DPS'), ('hair', 'NN1'), ('.', 'PUN')]","[('the', 'AT0'), ('smoke', 'NN1'), ('sort', 'NN1'), ('of', 'PRF'), ('hang', 'VVZ'), ('in', 'PRP'), ('blue', 'AJ0'), ('layer', 'NN2'), ('above', 'PRP'), ('the', 'AT0'), ('bed', 'NN1'), ('and', 'CJC'), ('i', 'PNP'), ('watch', 'VVB'), ('it', 'PNP'), ('for', 'PRP'), ('a', 'AT0'), ('bit', 'NN1'), ('.', 'PUN')]"
2,L,blow_smoke,1541,A/A7/A7J,"[('he', 'DPS'), ('father', 'NN1'), ('lean', 'VVD'), ('back', 'AVP'), ('and', 'CJC'), ('blow', 'VVD'), ('smoke', 'NN1-VVB'), ('towards', 'PRP'), ('the', 'AT0'), ('ceiling', 'NN1'), ('.', 'PUN')]","[('‘', 'PUQ'), ('why', 'AVQ'), ('do', 'VDD'), ('they', 'PNP'), ('shift', 'VVI'), ('you', 'PNP'), ('down', 'AVP'), ('here', 'AV0'), ('?', 'PUN'), ('’', 'PUQ')]","[('arty', 'AJ0'), ('look', 'VVD-VVN'), ('round', 'AVP'), ('at', 'PRP'), ('jack', 'NP0'), ('carbery', 'NP0-NN1'), ('and', 'CJC'), ('the', 'AT0'), ('five', 'CRD'), ('other', 'NN2'), ('who', 'PNQ'), ('have', 'VHD'), ('be', 'VBN'), ('move', 'VVN'), ('to', 'PRP'), ('the', 'AT0'), ('ground', 'NN1'), ('floor', 'NN1'), ('with', 'PRP'), ('he', 'PNP'), ('.', 'PUN')]"
3,L,blow_smoke,693,A/AD/ADA,"[('let', 'VVB'), ('we', 'PNP'), ('blow', 'VVI'), ('smoke', 'NN1-VVB'), ('at', 'PRP'), ('each', 'DT0'), ('other', 'NN1'), (',', 'PUN'), ('you', 'PNP'), ('and', 'CJC'), ('i.', 'NP0')]","[('let', 'VVB'), ('we', 'PNP'), ('relax', 'VVI'), (',', 'PUN'), ('then', 'AV0'), ('.', 'PUN')]","[('a', 'AT0'), ('long', 'AJ0'), ('way', 'NN1'), ('from', 'PRP'), ('here', 'AV0'), ('the', 'AT0'), ('amiable', 'AJ0'), ('and', 'CJC'), ('taggle', 'VVD-AJ0'), ('sheep', 'NN0'), ('be', 'VBB'), ('still', 'AV0'), ('curl', 'VVG'), ('together', 'AV0'), ('in', 'PRP'), ('the', 'AT0'), ('roadside', 'NN1'), ('bus', 'NN1'), ('shelter', 'NN1'), ('and', 'CJC'), ('the', 'AT0'), ('wind', 'NN1'), ('still', 'AV0'), ('move', 'VVZ'), ('through', 'PRP'), ('the', 'AT0'), ('unclad', 'NN1'), ('tree', 'NN2'), ('.', 'PUN')]"
4,L,blow_smoke,709,A/AD/ADA,"[('let', 'VVB'), ('we', 'PNP'), ('blow', 'VVI'), ('smoke', 'NN1-VVB'), ('at', 'PRP'), ('each', 'DT0'), ('other', 'NN1'), (',', 'PUN'), ('you', 'PNP'), ('and', 'CJC'), ('i.', 'NP0'), ('smoke', 'NN1'), ('get', 'VVZ'), ('in', 'PRP-AVP'), ('you', 'DPS'), ('eye', 'NN2'), (',', 'PUN'), ('you', 'DPS'), ('green', 'AJ0-NN1'), ('eye', 'NN2'), (',', 'PUN'), ('i', 'DPS'), ('icy', 'AJ0'), ('love', 'NN1'), ('.', 'PUN')]","[('let', 'VVB'), ('we', 'PNP'), ('relax', 'VVI'), (',', 'PUN'), ('please', 'AV0'), ('.', 'PUN')]","[('i', 'PNP'), ('hope', 'VVB'), ('i', 'PNP'), ('do', 'VDB'), ('not', 'XX0'), ('fall', 'VVI'), ('asleep', 'AJ0'), ('.', 'PUN')]"
5,L,blow_smoke,1726,A/AL/ALL,"[('he', 'PNP'), ('take', 'VVD'), ('a', 'AT0'), ('fresh', 'AJ0'), ('cigarette', 'NN1'), ('offer', 'VVN'), ('by', 'PRP'), ('somebody', 'PNI'), ('else', 'AV0'), (',', 'PUN'), ('light', 'VVD'), ('it', 'PNP'), ('and', 'CJC'), ('then', 'AV0'), ('blow', 'VVD'), ('the', 'AT0'), ('smoke', 'NN1'), ('in', 'PRP'), ('harry', 'NP0'), (""'s"", 'POS'), ('face', 'NN1'), ('.', 'PUN')]","[('harry', 'NP0'), ('have', 'VHD'), ('tense', 'VVN'), ('at', 'PRP'), ('the', 'AT0'), ('criticism', 'NN1'), (',', 'PUN'), ('but', 'CJC'), ('scarface', 'NP0'), ('laugh', 'VVD'), ('and', 'CJC'), ('the', 'AT0'), ('whole', 'AJ0'), ('bar', 'NN1'), ('start', 'VVD'), ('roar', 'VVG'), ('at', 'PRP'), ('bull', 'NP0'), (""'s"", 'POS'), ('subtlety', 'NN1'), ('and', 'CJC'), ('wit', 'NN1'), ('.', 'PUN')]","[('nothing', 'PNI'), ('be', 'VBD'), ('say', 'VVN'), (',', 'PUN'), ('but', 'CJC'), ('he', 'DPS'), ('lieutenant', 'NN1'), ('know', 'VVD'), ('he', 'PNP'), ('have', 'VHD'), ('be', 'VBN'), ('reprieve', 'VVN'), ('at', 'PRP'), ('the', 'AT0'), ('last', 'ORD'), ('minute', 'NN1'), ('.', 'PUN')]"
6,L,blow_smoke,1792,A/AR/ARK,"[('he', 'PNP'), ('blow', 'VVD'), ('smoke', 'NN1-VVB'), ('into', 'PRP'), ('the', 'AT0'), ('air', 'NN1'), ('.', 'PUN')]","[('feed', 'VVB'), ('it', 'PNP'), ('into', 'PRP'), ('the', 'AT0'), ('grapevine', 'NN1'), (',', 'PUN'), ('use', 'VVB'), ('you', 'DPS'), ('press', 'NN1'), ('contact', 'NN2'), ('.', 'PUN'), ('’', 'PUQ')]","[('‘', 'PUQ'), ('but', 'CJC'), ('on', 'PRP'), ('no', 'AT0'), ('account', 'NN1'), ('let', 'VVB'), ('anyone', 'PNI'), ('know', 'VVI'), ('we', 'PNP'), ('be', 'VBB'), ('interested', 'AJ0'), ('.', 'PUN'), ('’', 'PUQ')]"
7,L,blow_smoke,302,C/CA/CAY,"[('this', 'DT0'), ('effect', 'NN1'), ('be', 'VBZ'), ('best', 'AV0'), ('correct', 'VVN'), ('by', 'PRP'), ('observe', 'VVG'), ('the', 'AT0'), ('exhaust', 'NN1'), ('smoke', 'NN1-VVB'), ('and', 'CJC'), ('trim', 'VVG'), ('the', 'AT0'), ('model', 'NN1'), ('so', 'AV0'), ('that', 'CJT'), ('the', 'AT0'), ('tail', 'NN1'), ('boom', 'NN1'), ('be', 'VBZ'), ('point', 'VVG'), ('in', 'PRP'), ('the', 'AT0'), ('same', 'DT0'), ('direction', 'NN1'), ('that', 'CJT'), ('the', 'AT0'), ('smoke', 'NN1'), ('be', 'VBZ'), ('be', 'VBG'), ('blow', 'VVN'), ('.', 'PUN')]","[('it', 'PNP'), ('will', 'VM0'), ('then', 'AV0'), ('maintain', 'VVI'), ('a', 'AT0'), ('constant', 'AJ0'), ('heading', 'NN1'), ('at', 'PRP'), ('an', 'AT0'), ('angle', 'NN1'), ('to', 'PRP'), ('the', 'AT0'), ('wind', 'NN1'), ('.', 'PUN')]","[('if', 'CJS'), ('a', 'AT0'), ('gyro', 'NN1'), ('be', 'VBZ'), ('fit', 'VVN'), (',', 'PUN'), ('this', 'DT0'), ('can', 'VM0'), ('tend', 'VVI'), ('to', 'TO0'), ('hide', 'VVI'), ('the', 'AT0'), ('effect', 'NN1'), ('of', 'PRF'), ('the', 'AT0'), ('trim', 'AJ0-NN1'), ('offset', 'NN1'), ('and', 'CJC'), ('can', 'VM0'), (',', 'PUN'), ('in', 'PRP'), ('gusty', 'AJ0'), ('condition', 'NN2'), (',', 'PUN'), ('cause', 'VVB'), ('the', 'AT0'), ('tail', 'NN1'), ('to', 'TO0'), ('oscillate', 'VVI'), ('and', 'CJC'), ('lead', 'VVI'), ('to', 'PRP'), ('the', 'AT0'), ('mistaken', 'AJ0'), ('conclusion', 'NN1'), ('that', 'CJT'), ('the', 'AT0'), ('gyro', 'NN1'), ('be', 'VBZ'), ('too', 'AV0'), ('sensitive', 'AJ0'), ('.', 'PUN')]"
8,L,blow_smoke,1320,C/CC/CCW,"[('the', 'AT0'), ('ulsterman', 'NP0-NN1'), ('blow', 'VVD'), ('smoke', 'NN1-VVB'), ('towards', 'PRP'), ('she', 'PNP'), ('.', 'PUN')]","[('a', 'AT0'), ('small', 'AJ0'), ('battery-powered', 'AJ0-NN1'), ('fan', 'NN1'), ('whirl', 'VVD'), ('the', 'AT0'), ('smoke', 'NN1'), ('away', 'AV0'), ('and', 'CJC'), ('generally', 'AV0'), ('try', 'VVD'), ('to', 'TO0'), ('stir', 'VVI'), ('up', 'AVP'), ('the', 'AT0'), ('humid', 'AJ0'), ('air', 'NN1'), ('which', 'DTQ'), ('play', 'VVD'), ('such', 'DT0'), ('havoc', 'NN1'), ('with', 'PRP'), ('ellen', 'NP0'), (""'s"", 'POS'), ('precious', 'AJ0'), ('book', 'NN2'), ('in', 'PRP'), ('they', 'DPS'), ('orange-crate', 'AJ0-NN1'), ('shelf', 'NN2'), ('.', 'PUN')]","[('‘', 'PUQ'), ('breakspear', 'NN1-VVB'), ('will', 'VM0'), ('not', 'XX0'), ('do', 'VDI'), ('the', 'AT0'), ('senator', 'NN1'), (""'s"", 'POS'), ('cruise', 'NN1'), (',', 'PUN'), ('’', 'PUQ'), ('he', 'PNP'), ('say', 'VVD'), (',', 'PUN'), ('‘', 'PUQ'), ('so', 'CJS'), ('you', 'PNP'), ('will', 'VM0'), ('lose', 'VVI'), ('that', 'DT0'), ('money', 'NN1'), (',', 'PUN'), ('but', 'CJC'), ('if', 'CJS'), ('you', 'PNP'), ('work', 'VVB'), ('one', 'CRD'), ('night', 'NN1'), ('a', 'AT0'), ('week', 'NN1'), ('for', 'PRP'), ('i', 'PNP'), ('then', 'AV0'), ('you', 'PNP'), ('will', 'VM0'), ('earn', 'VVI'), ('just', 'AV0'), ('as', 'AV0'), ('much', 'DT0'), ('anyway', 'AV0'), ('.', 'PUN')]"
9,L,blow_smoke,1350,C/CC/CCW,"[('he', 'PNP'), ('blow', 'VVD'), ('cigarette', 'NN1'), ('smoke', 'NN1-VVB'), ('to', 'TO0'), ('sting', 'VVI'), ('i', 'DPS'), ('eye', 'NN2'), ('.', 'PUN')]","[('he', 'PNP'), ('come', 'VVD'), ('and', 'CJC'), ('stand', 'VVD'), ('very', 'AV0'), ('close', 'AJ0-AV0'), ('to', 'PRP'), ('i', 'PNP'), (',', 'PUN'), ('try', 'VVG'), ('to', 'TO0'), ('intimidate', 'VVI'), ('i', 'PNP'), ('as', 'CJS-PRP'), ('billingsley', 'NP0'), ('have', 'VHD'), ('do', 'VDN'), ('.', 'PUN')]","[('‘', 'PUQ'), ('just', 'AV0'), ('because', 'CJS'), ('you', 'PNP'), ('be', 'VBD'), ('a', 'AT0'), ('poxy', 'AJ0'), ('marine', 'NN1'), (',', 'PUN'), ('you', 'DPS'), ('holiness', 'NN1'), (',', 'PUN'), ('do', 'VDZ'), ('not', 'XX0'), ('make', 'VVI'), ('you', 'PNP'), ('tough', 'AJ0'), ('.', 'PUN'), ('’', 'PUQ')]"
